ConfName, URL, AbstractDeadline, ConfDate, Location, Notes
SUSY, https://indico.cern.ch/event/443176/, 2016-04-30, 2016-06-04, Melbourne,
Invisibles, https://indico.cern.ch/event/464402/,, 2016-09-12, Padova,
INPC2016, http://www.physics.adelaide.edu.au/cssm/workshops/inpc2016/,, 2016-09-11, Adelaide,
NuFact, http://vietnam.in2p3.fr/2016/nufact, 2016-07-01, 2016-08-21, Vietnam,
ISAPP, https://agenda.infn.it/conferenceDisplay.py?confId=10519,, 2016-07-11, Italy, geoneutrinos; summer institute
PASCOS, https://indico.cern.ch/event/452998/,, 2016-07-10, Vietnam, strings?
6th IDPASC School, http://www.idpasc.lip.pt/LIP/events/2016_idpasc_school/,, 2016-05-23, Slovenia, summer school
ICNFP, http://indico.cern.ch/event/442094/,  2016-03-30, 2016-06-06, Crete,
FPCP, http://www.hep.caltech.edu/~hitlin/,, 2016-06-05, Pasadena,
IEEE Real Time Conference, https://indico.cern.ch/event/390748/, 2016-02-14, 2016-06-05, Padova,
BEACH, https://indico.cern.ch/event/436730/, 2016-04-15, 2016-06-12, Fairfax USA,
ICHEP, http://ichep2016.org/, 2016-02-07, 2016-08-03, Chicago,
CHEP, http://chep2016.org/, 2016-04-11, 2016-10-10, SLAC,
IEEE NSS, http://2016.nss-mic.org/, 2016-05-03, 2016-10-29, Grenoble, nuclear and medical instrumentation
Neutrinos, http://neutrino2016.iopconfs.org/home, 2016-03-14, 2016-07-04, London,
IOP, http://heppappsussex2016.iopconfs.org/home, 2016-02-29, 2016-03-21, Sussex, abstracts for posters
